Run,Assay Type,AvgSpotLen,Bases,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,SRA Study,Collection_Date,geo_loc_name_country,geo_loc_name_country_continent,Library Name,BioProject,isolation_source,strain,Sample_name,geo_loc_name,BioSampleModel,collected_by,ENA-FIRST-PUBLIC (run),ENA-LAST-UPDATE (run),Scientific_Name,geographic_location_(country_and/or_sea),common_name,INSDC_center_name,Submitter_Id,ENA_first_public,INSDC_status,isolate,ENA-STATUS-ID (exp),ENA-STATUS-ID (run),Host,lat_lon,host_scientific_name,source_type,purpose_of_sampling,isolate_name_alias,Serovar,host_health_state,project_name,sequenced_by,geographic_location_(region_and_locality),Host_disease,Author,file_location,ENA-STATUS (exp),ENA-STATUS (run),sample_type,Sequence_type,potential_contaminant,env_medium,env_local_scale,env_broad_scale,host_subject_id,organism,host_sex,genotype,intended_consumer,Broker_name,isol_growth_condt,ref_biomaterial,num_replicons,food_origin,lab_host,animal_env,isolation_source_host-associated,IFSAC_Category,serotype,IFSAC+_Category,MIC_Meropenem,MLST_type,Carba_allel,Isolate_number,Host_Age,mlst,samp_collect_device,timepoint,replicate_number,selection_dose,Selection,site_code,site_name,Sample_ID,coll_site_geo_feat,title (exp),title (run),environmental_sample,host_phenotype,st131_carriage,culture_collection,tmp,cultivation,read,ontological_term,source_material_id,geographic_location_(latitude),geographic_location_(longitude),host_associated,host_description,environmental_medium,beta_lactamase_family,carbapenemase,edta_inhibitor_tested,host_body_product,agar,Depth,Sample_Number,Site,broad-scale_environmental_context,local_environmental_context,substrain,host_tissue_sampled,label_claims,host_common_name,replicate,host_disease_outcome,source_name,Evolution_Regime,external_id,INSDC_last_update,osmolality_mOsmkg,osmotic_condition,replicate_line,dev_stage,BIOMATERIAL_PROVIDER,host_raw_meat_feeding,original_isolate_name,Phylogroup,food_processing_method,pathotype,collection_method,submission_tool
ERR16959717,WGS,302,604,SAMEA122082189,66919,DEPERTMENT FOR MICROBIAL ECOLOGY,public,"fastq,sra,run.zq","gs,ncbi,s3","gs.us-east1,s3.us-east-1,ncbi.public",ERX16343313,Illumina NovaSeq X,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2026-04-02T00:00:00Z,2026-04-06T03:46:00Z,1,SAMEA122082189,ERP172833,2023,Sweden,Europe,,PRJEB89812,spleen,,D12-12-S1,,,,2026-04-02,2026-04-02,Escherichia coli,Sweden,E. coli,National Veterinary Institute,D12-12-S1,2026-04-02,public,D12-12-S1,4,4,,,Gallus gallus,,,,O78:H4,diseased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR16984445,WGS,501,2508,SAMEA122116254,73243,ONE HEALTH SELECTION AND TRANSMISSION OF ANTIBIOTI,public,"run.zq,sra,fastq","s3,ncbi,gs","gs.us-east1,s3.us-east-1,ncbi.public",ERX16367982,Illumina NovaSeq 6000,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2026-04-10T00:00:00Z,2026-04-10T02:11:00Z,1,SAMEA122116254,ERP159177,2022,United Kingdom,Europe,,PRJEB74489,,,246491,,,,2026-04-09,2026-04-09,Escherichia coli,United Kingdom,E. coli,OH-STAR,246491,2026-04-09,public,,4,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERR16959700,WGS,302,302,SAMEA122082172,63433,DEPERTMENT FOR MICROBIAL ECOLOGY,public,"fastq,sra","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",ERX16343296,Illumina NovaSeq X,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2026-04-03T00:00:00Z,2026-04-06T21:40:00Z,1,SAMEA122082172,ERP172833,2023,Sweden,Europe,,PRJEB89812,liver,,D10-10-L3,,,,2026-04-02,2026-04-02,Escherichia coli,Sweden,E. coli,National Veterinary Institute,D10-10-L3,2026-04-02,public,D10-10-L3,4,4,,,Gallus gallus,,,,O5:H40,diseased,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR37221845,WGS,287,46631,SAMN55339190,86925,JMI LABORATORIES,public,"realign,fastq,wgmlst_sig,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32157052,NextSeq 1000,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2026-02-12T00:00:00Z,2026-02-12T13:22:00Z,1,1418682-1,SRP676847,2024-08-21,USA,North America,315,PRJNA1423260,,,,USA,"Microbe\, viral or environmental",,,,,,,,,,,1418682-1,,,Homo sapiens,,,,,,,,,,,,,,,,whole organism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR37221853,WGS,282,54889,SAMN55339183,92168,JMI LABORATORIES,public,"sra,wgmlst_sig,fastq,realign","gs,s3,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX32157044,NextSeq 1000,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2026-02-12T00:00:00Z,2026-02-12T13:27:00Z,1,1416977-1,SRP676847,2024-06-12,USA,North America,308,PRJNA1423260,,,,USA,"Microbe\, viral or environmental",,,,,,,,,,,1416977-1,,,Homo sapiens,,,,,,,,,,,,,,,,whole organism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR37221865,WGS,279,38507,SAMN55339173,83614,JMI LABORATORIES,public,"wgmlst_sig,realign,sra,fastq","s3,gs,ncbi","ncbi.public,gs.us-east1,s3.us-east-1",SRX32157032,NextSeq 1000,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2026-02-12T00:00:00Z,2026-02-12T13:23:00Z,1,1414167-1,SRP676847,2024-08-21,USA,North America,298,PRJNA1423260,,,,USA,"Microbe\, viral or environmental",,,,,,,,,,,1414167-1,,,Homo sapiens,,,,,,,,,,,,,,,,whole organism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR37221872,WGS,296,48999,SAMN55339079,85483,JMI LABORATORIES,public,"fastq,wgmlst_sig,realign,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX32157025,NextSeq 1000,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2026-02-12T00:00:00Z,2026-02-12T13:23:00Z,1,1272552-1,SRP676847,2023-02-03,USA,North America,204,PRJNA1423260,,,,USA,"Microbe\, viral or environmental",,,,,,,,,,,1272552-1,,,Homo sapiens,,,,,,,,,,,,,,,,whole organism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR37221884,WGS,283,37469,SAMN55339069,80630,JMI LABORATORIES,public,"realign,sra,wgmlst_sig,fastq","ncbi,gs,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX32157013,NextSeq 1000,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2026-02-12T00:00:00Z,2026-02-12T13:23:00Z,1,1255943-1,SRP676847,2022-04-25,USA,North America,194,PRJNA1423260,,,,USA,"Microbe\, viral or environmental",,,,,,,,,,,1255943-1,,,Homo sapiens,,,,,,,,,,,,,,,,whole organism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR37221943,WGS,282,23767,SAMN55339206,76251,JMI LABORATORIES,public,"fastq,sra,realign,wgmlst_sig","ncbi,gs,s3","s3.us-east-1,gs.us-east1,ncbi.public",SRX32157313,NextSeq 1000,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2026-02-12T00:00:00Z,2026-02-12T13:23:00Z,1,1428684-1,SRP676847,2024-10-22,USA,North America,331,PRJNA1423260,,,,USA,"Microbe\, viral or environmental",,,,,,,,,,,1428684-1,,,Homo sapiens,,,,,,,,,,,,,,,,whole organism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SRR37221958,WGS,281,53695,SAMN55339193,91035,JMI LABORATORIES,public,"sra,fastq,wgmlst_sig,realign","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.us-east1",SRX32157298,NextSeq 1000,PAIRED,RANDOM,GENOMIC,Escherichia coli,ILLUMINA,2026-02-12T00:00:00Z,2026-02-12T13:23:00Z,1,1419254-1,SRP676847,2024-06-10,USA,North America,318,PRJNA1423260,,,,USA,"Microbe\, viral or environmental",,,,,,,,,,,1419254-1,,,Homo sapiens,,,,,,,,,,,,,,,,whole organism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
