Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
ERR13230452	0.0	74.0	126.0	150	45.45454545454545	4e-06
ERR13230453	0.0	71.0	143.5	136	27.27272727272727	2e-06
ERR13230454	0.0	71.0	129.28571428571428	151	45.45454545454545	7e-06
ERR13230455	0.0	66.0	144.5	144	36.36363636363637	4e-06
ERR13230472	0.0	61.0	151.0	151	36.36363636363637	2e-06
ERR16959700	0.0	54.0	151.0	151	27.27272727272727	1e-06
ERR16959717	0.0	52.0	151.0	151	45.45454545454545	2e-06
ERR16984445	0.0	46.0	250.8	251	36.36363636363637	4.9999999999999996e-06
SRR37221943	14.285714285714292	58.0	144.86904761904762	151	36.36363636363637	8.4e-05
SRR37222079	16.666666666666657	57.0	146.29166666666666	150	36.36363636363637	9.6e-05
