.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
ERR13230452	1	1	0.25	1	0.25	0.25	1	0.5	1	0.25	0.25
ERR13230453	1	1	0.25	1	0.25	0.5	1	0.5	1	0.25	1
ERR13230454	1	1	0.25	1	0.25	0.25	0.5	0.5	1	0.25	0.25
ERR13230455	1	1	0.25	1	0.25	0.25	1	0.5	1	0.25	1
ERR13230472	1	1	0.25	0.5	0.25	0.25	1	1	1	0.25	1
ERR16959700	1	1	1	1	0.25	0.25	1	1	1	0.25	1
ERR16959717	1	1	0.25	0.5	0.25	0.25	1	1	1	0.25	0.25
ERR16984445	1	1	0.25	1	0.25	0.25	1	0.5	1	0.25	1
SRR37221943	1	1	0.25	1	0.25	0.25	1	0.5	1	0.25	1
SRR37222079	1	1	0.25	1	0.25	0.25	1	0.5	1	0.25	1
