Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57
ERR13230452	(1, 34.0)	(2, 37.0)	(3, 30.5)	(4, 27.5)	(5, 37.0)	(6, 37.0)	(7, 34.0)	(8, 37.0)	(9, 37.0)	(10, 35.8)	(15, 37.0)	(20, 36.4)	(25, 35.8)	(30, 36.4)	(35, 35.2)	(40, 37.0)	(45, 37.0)	(50, 35.8)	(55, 37.0)	(60, 37.0)	(65, 37.0)	(70, 34.6)	(75, 32.733333333333334)	(80, 29.4)	(85, 29.266666666666662)	(90, 32.733333333333334)	(95, 30.2)	(100, 37.0)	(105, 36.2)	(110, 36.2)	(115, 37.0)	(120, 35.266666666666666)	(125, 36.2)	(130, 36.2)	(135, 37.0)	(140, 35.266666666666666)	(145, 37.0)	(150, 37.0)																				
ERR13230453	(1, 24.0)	(2, 37.0)	(3, 37.0)	(4, 37.0)	(5, 37.0)	(6, 37.0)	(7, 37.0)	(8, 37.0)	(9, 31.0)	(10, 37.0)	(15, 35.8)	(20, 35.8)	(25, 37.0)	(30, 37.0)	(35, 37.0)	(40, 37.0)	(45, 34.4)	(50, 35.8)	(55, 37.0)	(60, 35.8)	(65, 34.4)	(70, 37.0)	(75, 35.8)	(80, 37.0)	(85, 33.2)	(90, 32.0)	(95, 33.2)	(100, 34.4)	(105, 37.0)	(110, 33.2)	(115, 37.0)	(120, 35.8)	(125, 33.4)	(130, 34.4)	(135, 34.4)	(140, 37.0)	(145, 37.0)	(150, 37.0)																				
ERR13230454	(1, 32.0)	(2, 32.0)	(3, 32.0)	(4, 30.285714285714285)	(5, 32.0)	(6, 32.0)	(7, 32.0)	(8, 32.0)	(9, 32.0)	(10, 32.0)	(15, 31.31428571428571)	(20, 32.0)	(25, 32.0)	(30, 31.657142857142855)	(35, 35.6)	(40, 37.0)	(45, 37.0)	(50, 36.13333333333333)	(55, 36.6)	(60, 36.13333333333333)	(65, 36.13333333333333)	(70, 33.666666666666664)	(75, 34.39999999999999)	(80, 33.99999999999999)	(85, 32.666666666666664)	(90, 34.46666666666666)	(95, 36.2)	(100, 37.0)	(105, 37.0)	(110, 37.0)	(115, 37.0)	(120, 37.0)	(125, 37.0)	(130, 37.0)	(135, 37.0)	(140, 37.0)	(145, 37.0)	(150, 37.0)																				
ERR13230455	(1, 37.0)	(2, 37.0)	(3, 37.0)	(4, 37.0)	(5, 37.0)	(6, 37.0)	(7, 37.0)	(8, 37.0)	(9, 37.0)	(10, 37.0)	(15, 37.0)	(20, 37.0)	(25, 37.0)	(30, 37.0)	(35, 37.0)	(40, 37.0)	(45, 37.0)	(50, 37.0)	(55, 37.0)	(60, 37.0)	(65, 37.0)	(70, 37.0)	(75, 36.4)	(80, 37.0)	(85, 37.0)	(90, 37.0)	(95, 37.0)	(100, 37.0)	(105, 37.0)	(110, 37.0)	(115, 37.0)	(120, 33.8)	(125, 31.8)	(130, 30.333333333333332)	(135, 28.333333333333332)	(140, 31.93333333333333)	(145, 26.6)	(150, 37.0)																				
ERR13230472	(1, 37.0)	(2, 37.0)	(3, 37.0)	(4, 24.0)	(5, 31.0)	(6, 31.0)	(7, 37.0)	(8, 37.0)	(9, 37.0)	(10, 28.0)	(15, 33.2)	(20, 37.0)	(25, 34.6)	(30, 37.0)	(35, 33.2)	(40, 35.8)	(45, 30.6)	(50, 33.2)	(55, 37.0)	(60, 30.6)	(65, 31.8)	(70, 24.0)	(75, 35.8)	(80, 25.4)	(85, 34.4)	(90, 29.2)	(95, 31.8)	(100, 31.8)	(105, 32.0)	(110, 32.0)	(115, 29.2)	(120, 26.6)	(125, 29.2)	(130, 34.6)	(135, 34.4)	(140, 31.8)	(145, 31.8)	(150, 30.5)																				
ERR16959700	(1, 24.0)	(2, 40.0)	(3, 40.0)	(4, 12.0)	(5, 40.0)	(6, 40.0)	(7, 40.0)	(8, 40.0)	(9, 40.0)	(10, 36.8)	(15, 40.0)	(20, 40.0)	(25, 40.0)	(30, 40.0)	(35, 40.0)	(40, 40.0)	(45, 40.0)	(50, 40.0)	(55, 40.0)	(60, 40.0)	(65, 40.0)	(70, 40.0)	(75, 40.0)	(80, 40.0)	(85, 40.0)	(90, 40.0)	(95, 40.0)	(100, 40.0)	(105, 40.0)	(110, 40.0)	(115, 40.0)	(120, 40.0)	(125, 40.0)	(130, 40.0)	(135, 40.0)	(140, 40.0)	(145, 40.0)	(150, 24.0)																				
ERR16959717	(1, 40.0)	(2, 32.0)	(3, 26.0)	(4, 40.0)	(5, 40.0)	(6, 32.0)	(7, 26.0)	(8, 40.0)	(9, 40.0)	(10, 36.8)	(15, 34.4)	(20, 36.8)	(25, 36.8)	(30, 36.8)	(35, 36.8)	(40, 38.4)	(45, 33.6)	(50, 34.4)	(55, 30.8)	(60, 35.6)	(65, 27.2)	(70, 31.2)	(75, 35.6)	(80, 31.2)	(85, 30.8)	(90, 30.0)	(95, 28.4)	(100, 27.2)	(105, 28.8)	(110, 25.2)	(115, 15.6)	(120, 13.2)	(125, 16.8)	(130, 16.8)	(135, 18.0)	(140, 23.2)	(145, 23.2)	(150, 21.0)																				
ERR16984445	(1, 37.0)	(2, 31.8)	(3, 37.0)	(4, 37.0)	(5, 37.0)	(6, 37.0)	(7, 37.0)	(8, 37.0)	(9, 37.0)	(10, 37.0)	(15, 36.04)	(20, 37.0)	(25, 36.519999999999996)	(30, 37.0)	(35, 35.480000000000004)	(40, 34.440000000000005)	(45, 35.96)	(50, 37.0)	(55, 35.480000000000004)	(60, 34.92)	(65, 37.0)	(70, 36.04)	(75, 36.519999999999996)	(80, 36.519999999999996)	(85, 34.519999999999996)	(90, 36.04)	(95, 36.04)	(100, 36.04)	(105, 35.96)	(110, 35.0)	(115, 35.480000000000004)	(120, 36.519999999999996)	(125, 36.04)	(130, 33.4)	(135, 36.04)	(140, 35.480000000000004)	(145, 33.96)	(150, 36.04)	(155, 34.44)	(160, 34.92)	(165, 34.52)	(170, 35.480000000000004)	(175, 35.480000000000004)	(180, 35.0)	(185, 35.480000000000004)	(190, 35.0)	(195, 31.4)	(200, 34.040000000000006)	(205, 35.0)	(210, 33.88)	(215, 34.92)	(220, 34.52)	(225, 33.96)	(230, 36.04)	(235, 32.44)	(240, 30.919999999999998)	(245, 35.08)	(250, 34.3)
SRR37221943	(1, 32.80952380952381)	(2, 31.904761904761905)	(3, 32.404761904761905)	(4, 31.30952380952381)	(5, 33.357142857142854)	(6, 33.26190476190476)	(7, 33.285714285714285)	(8, 32.142857142857146)	(9, 32.666666666666664)	(10, 32.904761904761905)	(15, 32.58571428571429)	(20, 33.37619047619048)	(25, 33.404761904761905)	(30, 33.404761904761905)	(35, 33.36666666666667)	(40, 32.93067321551012)	(45, 33.33170731707317)	(50, 33.25853658536586)	(55, 33.03625414031918)	(60, 33.08641975308642)	(65, 33.120987654320984)	(70, 33.36296296296297)	(75, 33.20987654320987)	(80, 33.140740740740746)	(85, 33.17037037037037)	(90, 33.22469135802469)	(95, 32.953086419753085)	(100, 33.214814814814815)	(105, 32.70610251601813)	(110, 33.42784810126582)	(115, 33.063291139240505)	(120, 32.58539435248296)	(125, 32.87119547119547)	(130, 32.753246753246756)	(135, 32.6272043745728)	(140, 33.152631578947364)	(145, 32.69394784257942)	(150, 33.011160714285715)																				
SRR37222079	(1, 32.4375)	(2, 32.8125)	(3, 32.916666666666664)	(4, 32.5)	(5, 32.833333333333336)	(6, 32.520833333333336)	(7, 33.833333333333336)	(8, 32.979166666666664)	(9, 33.0)	(10, 33.30833333333333)	(15, 32.90416666666667)	(20, 32.94583333333333)	(25, 33.2375)	(30, 33.170833333333334)	(35, 33.09166666666667)	(40, 33.44583333333333)	(45, 33.37083333333334)	(50, 33.208333333333336)	(55, 33.40416666666667)	(60, 33.07083333333333)	(65, 33.270833333333336)	(70, 33.329166666666666)	(75, 33.12771929824562)	(80, 32.99368421052632)	(85, 32.97048152295632)	(90, 32.81425899953249)	(95, 32.86521739130435)	(100, 32.608361204013384)	(105, 32.95384615384616)	(110, 32.527472527472526)	(115, 33.041758241758245)	(120, 32.65489621489622)	(125, 32.6086482805584)	(130, 32.809090909090905)	(135, 32.695454545454545)	(140, 32.84090909090909)	(145, 32.95060456784595)	(150, 33.326362135388)																				
