Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49
ERR13230452	(52, 1.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 0.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 0.0)	(124, 0.0)	(126, 0.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 0.0)	(136, 0.0)	(138, 0.0)	(140, 0.0)	(142, 0.0)	(144, 0.0)	(146, 0.0)	(148, 0.0)	(150, 3.0)
ERR13230453	(136, 1.0)	(137, 0.0)	(138, 0.0)	(139, 0.0)	(140, 0.0)	(141, 0.0)	(142, 0.0)	(143, 0.0)	(144, 0.0)	(145, 0.0)	(146, 0.0)	(147, 0.0)	(148, 0.0)	(149, 0.0)	(150, 0.0)	(151, 1.0)																																		
ERR13230454	(35, 1.0)	(40, 0.0)	(45, 0.0)	(50, 0.0)	(55, 0.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 0.0)	(110, 0.0)	(115, 0.0)	(120, 0.0)	(125, 1.0)	(130, 0.0)	(135, 1.0)	(140, 0.0)	(145, 0.0)	(150, 4.0)																										
ERR13230455	(132, 1.0)	(133, 0.0)	(134, 0.0)	(135, 0.0)	(136, 0.0)	(137, 0.0)	(138, 0.0)	(139, 0.0)	(140, 0.0)	(141, 0.0)	(142, 0.0)	(143, 0.0)	(144, 1.0)	(145, 0.0)	(146, 0.0)	(147, 0.0)	(148, 0.0)	(149, 0.0)	(150, 0.0)	(151, 2.0)																														
ERR13230472	(151, 2.0)																																																	
ERR16959700	(151, 1.0)																																																	
ERR16959717	(151, 2.0)																																																	
ERR16984445	(250, 1.0)	(251, 4.0)																																																
SRR37221943	(40, 2.0)	(45, 0.0)	(50, 0.0)	(55, 1.0)	(60, 0.0)	(65, 0.0)	(70, 0.0)	(75, 0.0)	(80, 0.0)	(85, 0.0)	(90, 0.0)	(95, 0.0)	(100, 0.0)	(105, 2.0)	(110, 0.0)	(115, 0.0)	(120, 1.0)	(125, 1.0)	(130, 0.0)	(135, 1.0)	(140, 0.0)	(145, 12.0)	(150, 64.0)																											
SRR37222079	(76, 1.0)	(78, 0.0)	(80, 0.0)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 2.0)	(90, 0.0)	(92, 1.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)	(102, 1.0)	(104, 0.0)	(106, 0.0)	(108, 0.0)	(110, 0.0)	(112, 0.0)	(114, 0.0)	(116, 0.0)	(118, 0.0)	(120, 0.0)	(122, 1.0)	(124, 1.0)	(126, 1.0)	(128, 0.0)	(130, 0.0)	(132, 0.0)	(134, 0.0)	(136, 0.0)	(138, 0.0)	(140, 0.0)	(142, 0.0)	(144, 1.0)	(146, 0.0)	(148, 8.0)	(150, 79.0)												
