Sample_ID,Group,enc_rpoB,gc3_rpoB,enc_katG,gc3_katG,enc_gyrA,gc3_gyrA
ERR4810461,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810467,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810478,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810485,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810486,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810487,sensitive,34.49,0.8696,39.6,0.8286,38.82,0.8284
ERR4810488,sensitive,34.49,0.8696,39.6,0.8286,39.03,0.8272
ERR4810489,sensitive,34.49,0.8696,39.6,0.8286,38.82,0.8284
ERR4810491,sensitive,34.46,0.8696,39.6,0.8286,39.03,0.8272
ERR4810492,sensitive,34.49,0.8696,39.6,0.8286,39.03,0.8272
ERR4810493,sensitive,34.49,0.8696,39.6,0.8286,38.82,0.8284
ERR4810494,sensitive,34.46,0.8696,39.6,0.8286,39.03,0.8272
ERR4810495,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810497,sensitive,34.46,0.8696,39.6,0.8286,39.03,0.8272
ERR4810498,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810507,sensitive,34.49,0.8696,39.6,0.8286,39.03,0.8272
ERR4810509,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810512,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810516,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810518,sensitive,34.49,0.8696,39.6,0.8286,39.03,0.8272
ERR4810520,sensitive,34.49,0.8696,39.6,0.8286,39.03,0.8272
ERR4810522,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810524,sensitive,34.49,0.8696,39.6,0.8286,39.03,0.8272
ERR4810526,sensitive,34.49,0.8687,39.6,0.8286,38.82,0.8284
ERR4810529,sensitive,34.49,0.8696,39.6,0.8286,39.03,0.826
ERR4810531,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810533,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810535,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810536,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810549,sensitive,34.49,0.8696,39.6,0.8286,39.03,0.8272
ERR4810550,sensitive,34.49,0.8696,39.6,0.8286,38.82,0.8284
ERR4810552,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810553,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810563,sensitive,34.49,0.8696,39.6,0.8286,39.03,0.8272
ERR4810570,sensitive,34.23,0.8703,39.6,0.8284,38.82,0.8282
ERR4810584,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810616,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810786,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810789,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810790,resistant,34.23,0.8703,39.6,0.8286,38.82,0.8284
ERR4810791,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810792,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810793,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810794,resistant,34.23,0.8696,39.6,0.8286,38.82,0.8284
ERR4810865,resistant,34.08,0.8703,39.6,0.8286,38.82,0.8284
ERR4810866,resistant,34.08,0.8705,39.6,0.8286,39.03,0.828
ERR4810867,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810892,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810894,sensitive,34.23,0.8696,39.6,0.8286,38.82,0.8284
ERR4810895,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810896,sensitive,34.49,0.8696,39.6,0.8286,38.82,0.8284
ERR4810897,sensitive,34.49,0.8687,39.6,0.8286,39.03,0.8272
ERR4810924,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810925,resistant,34.34,0.8696,39.6,0.8286,37.91,0.8284
ERR4810926,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810927,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810928,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810929,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810930,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810931,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810932,resistant,34.23,0.8703,39.6,0.8286,38.82,0.8284
ERR4810933,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810934,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810935,resistant,34.49,0.8696,39.6,0.8286,38.82,0.8284
ERR4810936,resistant,34.49,0.8696,39.6,0.8286,38.82,0.8284
ERR4810937,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810938,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810939,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810940,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810941,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810942,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810943,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810944,resistant,34.49,0.8696,39.93,0.8273,38.82,0.8284
ERR4810945,resistant,34.23,0.8702,39.6,0.8286,38.82,0.8284
ERR4810946,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810947,resistant,34.23,0.8704,,,38.82,0.8282
ERR4810948,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810949,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810950,resistant,34.23,0.8704,39.63,0.8286,38.82,0.8284
ERR4810951,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810952,resistant,34.49,0.8696,39.6,0.8286,38.82,0.8282
ERR4810953,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810959,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810970,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4810981,resistant,34.23,0.8702,,,38.82,0.8284
ERR4810991,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4811045,resistant,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4811047,sensitive,34.49,0.8687,39.6,0.8286,38.82,0.8284
ERR4811048,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4811049,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4811050,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4811053,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4811054,sensitive,34.49,0.8696,39.6,0.8286,38.82,0.8284
ERR4811063,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4811065,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
ERR4811066,resistant,34.08,0.8704,39.6,0.8286,38.82,0.8284
ERR4811109,sensitive,34.49,0.8696,39.6,0.8286,39.03,0.8272
ERR4811135,sensitive,34.49,0.8696,39.6,0.8286,39.03,0.8284
ERR4811137,sensitive,34.49,0.8696,39.6,0.8286,39.03,0.828
ERR4811141,sensitive,34.23,0.8704,39.6,0.8286,38.82,0.8284
